ルール,,下記の表に従い、基準を満たしているか,,,,,,,,,,,,,,,
,,デバイス,幅,,,マージン,,,フォント,,,,,,,,
,FALSE,必要に応じて、ページスクロールに追従しているか,,,,,,,,,,,,,,,
ボタン,FALSE,余白への収まりや全体のレイアウトとのバランスを考慮して、整形や処理を行なっているか,,,,,,,,,,,,,,,
,FALSE,視認性や可読性を考慮したテキストサイズやテキストウェイトになっているか,,,,,,,,,,,,,,,
,FALSE,シェイプの上に文字情報を載せている場合、文字情報を邪魔しない形に抑えているか,,,,,,,,,,,,,,,
,FALSE,ブランドやサービスに合った形になっているか,,,,,,,,,,,,,,,
インプット要素,FALSE,入力・クリックしやすい領域を確保しているか,,,,,,,,,,,,,,,
,FALSE,必要に応じて、プレースホルダーを設置し、入力文字を侵害しない色の薄さになっているか,,,,,,,,,,,,,,,
,FALSE,必要に応じて、各ステートごとにデザインパターンを作成しているか,,,,,,,,,,,,,,,
機能設計,FALSE,ユーザーや管理者のユースケースに合わせた設計になっているか,,,,,,,,,,,,,,,
,FALSE,実装時に実現可能なシステムやUI/UXを考慮した設計になっているか,,,,,,,,,,,,,,,
,FALSE,セキュリティ要件を満たした設計になっているか,,,,,,,,,,,,,,,
アニメーション,FALSE,トンマナやデザインガイドラインから逸脱した（または、デザインを崩壊させる）アニメーションを設定していないか,,,,,,,,,,,,,,,
,FALSE,ユーザーに疲労感や嫌悪感を与えるアニメーションを設定していないか,,,,,,,,,,,,,,,
,FALSE,画面の読み込み速度やサーバー・インフラに支障をきたすほどのアニメーションを設定していないか,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"スケジュール
進行",FALSE,クライアントもしくはチームリーダーが設定したスケジュールでデザイン設計の進行はできていたか,,,,,,,,,,,,,,,
,FALSE,スケジュールの遅延が発生した場合、リカバリーのための作業または提案・交渉はできていたか,,,,,,,,,,,,,,,
,FALSE,スケジュールの遅延を予測して、余裕を持ってデザイン設計・提案はできていたか,,,,,,,,,,,,,,,
"コミュニ
ケーション",FALSE,クライアントもしくはチームリーダーの意図を汲み取り、適切なデザイン設計に努められたか,,,,,,,,,,,,,,,
,FALSE,不明点・乖離点を適切に伝えて、作業に支障をきたさない状態でデザイン設計に従事できたか,,,,,,,,,,,,,,,
,FALSE,チームの輪を乱さずに、相手に配慮・考慮したコミュニケーションを図り、円滑なプロジェクト進行ができたか,,,,,,,,,,,,,,,
